,Kanji,Onyomi,Kunyomi,English,Examples,JLPT Level,Number of Strokes,Kanji Radical,Radical Number,Radical Strokes,Radical Reading
0,二,ニ、ジ,ふた、ふた.つ、ふたたび,two,二(に): two<br>二人(ふたり): two persons; two people; pair; couple<br>二つ(ふたつ): two<br>二十歳(はたち): (1) 20 years old (2) twenty<br>二階建て(にかいだて): two-storied building<br>真っ二つ(まっぷたつ): in two equal parts<br>二日(ふつか): (1) second day of the month (2) two days<br>二十日(はつか): (1) twentieth (day of the month) (2) twenty days,5,2.0,二,7.0,2.0,に・ふた
1,三,サン、ゾウ,み、み.つ、みっ.つ,three,三(さん): (1) three (2) tri-<br>三つ(みっつ): three<br>再三(さいさん): again and again; repeatedly<br>三角(さんかく): triangle; triangular<br>三味線(しゃみせん): three-stringed Japanese guitar; shamisen<br>三日月(みかづき): new moon; crescent moon<br>三日(みっか): (1) the third day of the month (2) three days,5,3.0,一,1.0,1.0,いち
2,四,シ,よ、よ.つ、よっ.つ、よん,four,四(し): four<br>四つ(よっつ): four<br>四季(しき): four seasons<br>四角い(しかくい): square; rectangular<br>四角(しかく): square<br>四捨五入(ししゃごにゅう): rounding half up (i.e. fractions)<br>四つ角(よつかど): four corners; crossroads<br>四日(よっか): (1) fourth day of month (2) four days,5,5.0,囗,31.0,3.0,くに・くにがまえ
3,五,ゴ,いつ、いつ.つ,five,"五(ご): five<br>五つ(いつつ): five<br>五十音(ごじゅうおん): the Japanese syllabary<br>四捨五入(ししゃごにゅう): rounding half up (i.e. fractions)<br>五日(いつか): (1) the fifth day of the month (2) five days<br>五味(ごみ): (1) five flavors (sweet, salty, spicy, sour, bitter); five palates; five tastes (2) five flavors (milk at various stages of making ghee: fresh milk, cream, curdled milk, butter, and ghee); the five periods of the Buddha's teachings",5,4.0,二,7.0,2.0,に・ふた
4,六,ロク、リク,む、む.つ、むっ.つ、むい,six,六(ろく): six<br>六日(むいか): (1) sixth day of the month (2) six days<br>六つ(むっつ): six,5,4.0,八,12.0,2.0,はち・は・はちがしら
5,七,シチ,なな、なな.つ、なの,seven,七(しち): (1) seven (2) hepta-<br>七つ(ななつ): seven<br>七日(なのか): (1) the seventh day of the month (2) seven days,5,2.0,一,1.0,1.0,いち
6,八,ハチ,や、や.つ、やっ.つ、よう,eight,八(はち): eight<br>八百屋(やおや): greengrocer<br>八日(ようか): (1) the eighth day of the month (2) eight days<br>八つ(やっつ): eight<br>お八つ(おやつ): (1) between meal snack (2) mid-afternoon (around 3 o'clock) snack; afternoon refreshment; afternoon tea,5,2.0,八,12.0,2.0,はち・は・はちがしら
7,九,キュウ、ク,ここの、ここの.つ,nine,九(きゅう): nine<br>九つ(ここのつ): nine<br>九日(ここのか): (1) the ninth day of the month (2) nine days,5,2.0,乙,5.0,1.0,おつ・おつにょう・つりばり
8,十,ジュウ、ジッ、ジュッ,とお、と,ten,十(じゅう): 10; ten<br>十分(じゅうぶん): (1) plenty; enough; sufficient; satisfactory; adequate (2) division into ten (3) perfectly; thoroughly; fully; in full<br>十日(とおか): (1) the tenth day of the month (2) ten days<br>二十歳(はたち): (1) 20 years old (2) twenty<br>五十音(ごじゅうおん): the Japanese syllabary<br>十字路(じゅうじろ): crossroads<br>二十日(はつか): (1) twentieth (day of the month) (2) twenty days<br>十分(じっぷん): 10 minutes,5,2.0,十,24.0,2.0,じゅう・じゅうへん
9,百,ヒャク、ビャク,もも,hundred,百科辞典(ひゃっかじてん): encyclopedia; encyclopaedia<br>百(ひゃく): 100; hundred<br>八百屋(やおや): greengrocer,5,6.0,白,106.0,5.0,しろ・しろへん
10,千,セン,ち,thousand,"千(せん): 1,000; thousand<br>千切る(ちぎる): (1) to tear to pieces; to tear to shreds; to tear up (2) to pick (e.g. fruit); to pluck; to tear off (3) to do ... heavily; to do ... heartily; to do ... vigorously",5,3.0,十,24.0,2.0,じゅう・じゅうへん
11,上,ジョウ、ショウ、シャン,うえ、-うえ、うわ-、かみ、あ.げる、-あ.げる、あ.がる、-あ.がる、あ.がり、-あ.がり、のぼ.る、のぼ.り、のぼ.せる、のぼ.す、よ.す,"above, up","""上がる(あがる): (1) to rise; to go up; to come up; to ascend; to be raised (2) to enter (esp. from outdoors); to come in; to go in (3) to enter (a school); to advance to the next grade (4) to get out (of water); to come ashore (5) to increase (6) to improve; to make progress (7) to be promoted; to advance (8) to be made (of profit, etc.) (9) to occur (esp. of a favourable result) (10) to be adequate (to cover expenses, etc.) (11) to be finished; to be done; to be over (12) (of rain) to stop; to lift (13) to stop (working properly); to cut out; to give out; to die (14) to win (in a card game, etc.) (15) to be arrested (16) to turn up (of evidence, etc.) (17) to be deep fried (18) to be spoken loudly (19) to get stage fright (20) to be offered (to the gods, etc.) (21) to go; to visit (22) to eat; to drink (23) to be listed (as a candidate) (24) to serve (in one's master's home) (25) (in Kyoto) to go north (26) (after the -masu stem of a verb) indicates completion<br>売上げ(うりあげ): amount sold; sales; proceeds; takings<br>上る(のぼる): (1) to ascend; to go up; to climb (2) to ascend (as a natural process, e.g. the sun); to rise (3) to go to (the capital) (4) to be promoted (5) to add up to (6) to advance (in price) (7) to swim up (a river); to sail up (8) to come up (on the agenda)<br>引上げる(ひきあげる): (1) to pull up; to drag up; to lift up (2) to increase; to raise (e.g. taxes) (3) to withdraw; to leave; to pull out; to retire (4) to return home<br>上昇(じょうしょう): rising; ascending; climbing<br>向上(こうじょう): elevation; rise; improvement; advancement; progress<br>上下(じょうげ): (1) top and bottom; high and low; above and below; upper and lower ends; up and down (2) going up and down; rising and falling; fluctuating (3) going and coming back (4) upper and lower classes; ruler and ruled; the government and the people (5) first and second volumes<br>上空(じょうくう): sky; the skies; high-altitude sky; upper air<br>上司(じょうし): superior authorities; boss<br>上演(じょうえん): performance (e.g. music, theatre, opera); staging<br>上がり(あがり): (1) ascent; rise; slope (2) freshly-drawn green tea (esp. in sushi shops) (3) advance income; crop yield (4) death; spinning; completion; stop; finish (5) after (rain); ex (official, etc.) (6) (end) results (e.g. of crafts like painting, pottery, etc.); how something comes out<br>上陸(じょうりく): landing; disembarkation<br>上旬(じょうじゅん): first 10 days of month<br>屋上(おくじょう): rooftop<br>上り(のぼり): (1) ascent; climbing; ascending (path); climb (2) up-train (e.g. going to Tokyo) (3) northward (towards Tokyo)<br>上級(じょうきゅう): advanced level; high grade; senior<br>以上(いじょう): (1) not less than; ... and more; ... and upwards (2) beyond ... (e.g. one's means); further (e.g. nothing further to say); more than ... (e.g. cannot pay more than that) (3) above-mentioned; foregoing (4) since ...; seeing that ... (5) this is all; that is the end; the end<br>上手(じょうず): (1) skill; skillful; dexterity (2) flattery<br>仕上げ(しあげ): end; finishing touches; being finished<br>頂上(ちょうじょう): top; summit; peak<br>途上(とじょう): (1) en route; half-way (2) on the road; in the street<br>申し上げる(もうしあげる): (1) to say; to tell; to state (2) to do for<br>上着(うわぎ): coat; tunic; jacket; outer garment<br>出来上がり(できあがり): finish; completion; ready; made for; cut out<br>上位(じょうい): (1) superior (in rank); top; ranking (2) higher order (e.g. byte) (3) host computer (of connected device)<br>取上げる(とりあげる): (1) to pick up; to take up (2) to adopt; to accept; to listen to (3) to take away; to confiscate; to deprive; to disqualify (4) to deliver (a child)<br>仕上がり(しあがり): finish; end; completion<br>盛り上がる(もりあがる): (1) to swell; to rise; to bulge; to be piled up (2) to rouse; to get excited<br>上達(じょうたつ): (1) improvement; advance; progress (2) communication of opinions of the general populace to those of high rank<br>身の上(みのうえ): one's future; one's welfare; one's personal history<br>お手上げ(おてあげ): all over; given in; given up hope; bring to knees<br>差し上げる(さしあげる): (1) to give; to offer (2) to lift up; to hold up; to raise<br>目上(めうえ): superior; superiors; senior<br>真上(まうえ): just above; right overhead<br>読み上げる(よみあげる): to read out loud (and clearly); to call a roll<br>見上げる(みあげる): (1) to look up at; to raise one's eyes (2) to look up to; to admire; to respect<br>出来上がる(できあがる): (1) to be completed; to be finished; to be ready (e.g. to serve or eat) (2) to be very drunk<br>仕上げる(しあげる): to finish up; to complete<br>立ち上がる(たちあがる): (1) to stand up; to get up (2) to rise (3) to recover (4) to take action; to start (5) to make the initial charge (in sumo) (6) to start up; to boot up<br>上等(じょうとう): (1) superiority; first-class; very good (2) (that's) just fine!; bring it on!<br>召し上がる(めしあがる): to eat<br>上品(じょうひん): elegant; refined; polished<br>その上(そのうえ): (1) in addition; furthermore (2) above (which); on top of (which)<br>上(うえ): (1) above; up; over; elder (e.g. daughter) (2) top; summit (3) surface; on (4) before; previous (5) superiority; one's superior (i.e. one's elder) (6) on top of that; besides; what's more (7) upon (further inspection, etc.); based on (and occurring after) (8) matters concerning...; as concerns ... (9) since (i.e. """"for that reason"""") (10) suffix indicating higher social standing (11) place of one's superior (i.e. the throne) (12) emperor; sovereign; shogun; daimyo (13) noblewoman (esp. the wife of a nobleman)<br>上(かみ): (1) upper reaches (of a river); upper stream (2) top; upper part; upper half (of the body) (3) long ago (4) beginning; first (5) person of high rank (e.g. the emperor) (6) government; imperial court (7) imperial capital (i.e. Kyoto); capital region (i.e. Kansai); region (or direction of) the imperial palace (8) head (of a table) (9) wife; mistress (of a restaurant)<br>上(じょう): (1) from the standpoint of; as a matter of (e.g. fact); in the field of; being of the type of (2) aboard (a ship or vehicle); on top of; on; above (3) first volume (e.g. book) (4) superior quality; best; top; high class (5) going up (6) governmental; imperial (7) presenting; showing (8) ana- (medical, biol.)<br>上下(うえした): (1) top and bottom; up and down; high and low; above and below; upper and lower ends (2) upside-down<br>持ち上げる(もちあげる): (1) to elevate; to raise; to lift up (2) to flatter; to extol; to praise to the sky<br>上回る(うわまわる): to exceed (esp. figures: profits, unemployment rate, etc.); to surpass; to be more than; to be better than<br>仕上がる(しあがる): to be finished; to be completed; to be done<br>参上(さんじょう): calling on; visiting<br>上(うわ): upper; upward; outer; surface; top<br>上手(うわて): (1) upper part (2) upper stream; upper course of a river (3) right side of the stage (audience's or camera's POV); stage left (actor's POV) (4) skillful (only in comparisons); dexterity (only in comparisons) (5) over-arm grip on opponent's belt (sumo)""",5,3.0,一,1.0,1.0,いち
